mu,lambda
65810806.013332196,0.125022106239327
65902193.881069295,0.12499758568132951
65993708.65414117,0.12497307118896449
66085350.50877434,0.1249485627598106
66177119.62144,0.12492406039144764
66269016.16885467,0.12489956408145644
66361040.32797954,0.12487507382741914
66453192.276022255,0.1248505896269188
66545472.19043629,0.12482611147753969
66637880.24892155,0.12480163937686717
66730416.62942471,0.1247771733224877
66823081.510139525,0.12475271331198888
66915875.06950722,0.12472825934295943
67008797.48621704,0.12470381141298911
67101848.939205654,0.12467936951966899
67195029.60765892,0.12465493366059105
67288339.6710113,0.12463050383334848
67381779.3089464,0.12460608003553555
67475348.70139737,0.12458166226474768
67569048.02854721,0.12455725051858137
67662877.47082913,0.12453284479463426
67756837.2089269,0.12450844509050513
67850927.42377543,0.12448405140379373
67945148.29656017,0.1244596637321012
68039500.0087189,0.12443528207302956
68133982.7419411,0.12441090642418204
68228596.67816854,0.12438653678316294
68323341.99959567,0.12436217314757773
68418218.88866995,0.12433781551503295
68513227.52809216,0.12431346388313629
68608368.1008168,0.12428911824949651
68703640.7900527,0.12426477861172348
68799045.77926232,0.12424044496742835
68894583.25216365,0.12421611731422318
68990253.39272955,0.1241917956497212
69086056.38518837,0.12416747997153682
69181992.41402425,0.1241431702772855
69278061.66397753,0.12411886656458382
69374264.3200451,0.12409456883104954
69470600.56748098,0.12407027707430138
69567070.5917957,0.12404599129195944
69663674.57875815,0.1240217114816447
69760412.71439494,0.12399743764097935
69857285.18499099,0.12397316976758668
69954292.1770899,0.12394890785909109
70051433.87749434,0.12392465191311809
70148710.47326636,0.12390040192729435
70246122.15172781,0.1238761578992476
70343669.10046084,0.12385191982660664
70441351.50730741,0.12382768770700159
70539169.56037104,0.1238034615380635
70637123.44801621,0.12377924131742457
70735213.35886897,0.12375502704271814
70833439.48181733,0.12373081871157865
70931802.00601156,0.12370661632164165
71030301.12086461,0.12368241987054385
71128937.01605247,0.12365822935592301
71227709.88151477,0.12363404477541799
71326619.90745412,0.12360986612666895
71425667.28433804,0.12358569340731695
71524852.20289826,0.12356152661500426
71624174.8541314,0.12353736574737424
71723635.42929928,0.12351321080207138
71823234.11992934,0.12348906177674127
71922971.11781496,0.12346491866903064
72022846.61501612,0.12344078147658727
72122860.80385874,0.12341665019706022
72223013.87693657,0.1233925248280995
72323306.02711056,0.12336840536735627
72423737.44750945,0.12334429181248284
72524308.33153021,0.12332018416113262
72625018.87283833,0.12329608241096013
72725869.26536825,0.12327198655962102
72826859.70332372,0.12324789660477205
72927990.38117842,0.12322381254407101
73029261.49367532,0.12319973437517703
73130673.23582858,0.12317566209575016
73232225.80292292,0.12315159570345159
73333919.39051421,0.12312753519594369
73435754.19442993,0.12310348057088988
73537730.41076946,0.12307943182595474
73639848.23590451,0.12305538895880394
73742107.86647946,0.1230313519671043
73844509.49941203,0.12300732084852366
73947053.33189261,0.12298329560073115
74049739.5613862,0.12295927622139688
74152568.38563174,0.12293526270819209
74255540.00264278,0.12291125505878918
74358654.6107078,0.12288725327086161
74461912.40839069,0.122863257342084
74565313.59453101,0.12283926727013207
74668858.36824475,0.1228152830526826
74772546.9289236,0.12279130468741366
74876379.47623691,0.12276733217200425
74980356.21013105,0.12274336550413456
75084477.33083004,0.1227194046814859
75188743.03883594,0.12269544970174065
75293153.53492925,0.12267150056258239
75397709.02016923,0.12264755726169571
75502409.69589442,0.1226236197967664
75607255.76372316,0.1225996881654813
75712247.425553,0.12257576236552847
75817384.8835626,0.122551842394597
75922668.34021117,0.12252792825037709
76028097.99823901,0.12250401993056009
76133674.060668,0.12248011743283845
76239396.73080194,0.12245622075490573
76345266.21222691,0.12243232989445663
76451282.70881198,0.12240844484918688
76557446.42470858,0.12238456561679352
76663757.56435232,0.12236069219497453
76770216.33246255,0.12233682458142904
76876822.93404281,0.12231296277385732
76983577.57438138,0.12228910676996076
77090480.45905158,0.12226525656744183
77197531.7939122,0.12224141216400417
77304731.78510793,0.12221757355735248
77412080.63906993,0.12219374074519256
77519578.56251527,0.12216991372523145
77627225.76244885,0.1221460924951772
77735022.44616275,0.12212227705273898
77842968.82123695,0.1220984673956271
77951065.09553964,0.12207466352155297
78059311.47722769,0.12205086542822911
78167708.174747,0.1220270731133692
78276255.39683297,0.122003286574688
78384953.35251111,0.1219795058099013
78493802.25109634,0.12195573081672625
78602802.30219512,0.12193196159288087
78711953.71570468,0.12190819813608442
78821256.7018137,0.12188444044405722
78930711.47100279,0.12186068851452074
79040318.2340448,0.12183694234519754
79150077.2020053,0.12181320193381132
79259988.58624318,0.1217894672780868
79370052.59841006,0.12176573837575005
79480269.45045227,0.12174201522452804
79590639.35461019,0.12171829782214892
79701162.52341892,0.12169458616634193
79811839.1697087,0.1216708802548375
79922669.50660533,0.12164718008536708
80033653.74753053,0.12162348565566332
80144792.10620242,0.12159979696345993
80256084.79663618,0.1215761140064917
80367532.0331433,0.1215524367824947
80479134.03033376,0.12152876528920595
80590891.00311525,0.12150509952436364
80702803.16669391,0.12148143948570708
80814870.73657471,0.12145778517097669
80927093.92856188,0.121434136577914
81039472.95875934,0.12141049370426168
81152008.04357137,0.12138685654776343
81264699.39970191,0.12136322510616425
81377547.24415666,0.12133959937721008
81490551.79424244,0.12131597935864803
81603713.26756775,0.12129236504822634
81717031.88204335,0.12126875644369436
81830507.85588253,0.12124515354280253
81944141.40760164,0.12122155634330245
82057932.75602049,0.1211979648429468
82171882.120263,0.12117437903948934
82285989.71975651,0.12115079893068509
82400255.77423397,0.12112722451429006
82514680.50373316,0.12110365578806137
82629264.12859738,0.12108009274975733
82744006.86947596,0.12105653539713729
82858908.94732459,0.12103298372796177
82973970.58340582,0.12100943773999237
83089191.99928944,0.12098589743099185
83204573.41685322,0.12096236279872398
83320115.05828214,0.12093883384095384
83435817.14607063,0.12091531055544745
83551679.90302178,0.12089179293997201
83667703.55224806,0.12086828099229584
83783888.31717178,0.12084477471018834
83900234.4215255,0.12082127409142007
